produto,idioma,categoria,tipo_artigo,site_oficial,links_afiliados,status,data_publicacao,url_publicada
Console Playstation®5 Slim Disk - Pacote Astro Bot,pt-BR,games,review,https://www.mercadolivre.com.br/console-playstation5-slim-disk-pacote-astro-bot-e-gran-turismo-7-branco/p/MLB57083347?pdp_filters=item_id%3AMLB5728106336#polycard_client=affiliates&wid=MLB5728106336&sid=affiliates,https://mercadolivre.com/sec/1bX9jGW,completed,2025-12-20,games/console-playstation5-slim-disk-pacote-astro-bot
Prodentim Review,en-us,healthcare,review,www.meulink.com,pending,,
