produto,idioma,categoria,tipo_artigo,site_oficial,links_afiliados,status,data_publicacao,url_publicada
Notebook Dell Inspiron 15,pt-BR,computadores,review,https://lista.mercadolivre.com.br/notebook-dell-inspiron,https://mercadolivre.com/sec/1hMFQt9,completed,2025-12-22,computadores/notebook-dell-inspiron-15
Fogão Cooktop Elétrico,pt-BR,eletrodomesticos,review,https://www.mercadolivre.com.br/fogo-cooktop-eletrico-elgin-2-bocas-preto/p/MLB22305960#polycard_client=search-nordic&search_layout=stack&position=5&type=product&tracking_id=a18e4498-e535-49c6-810a-e455f8a1bab5&wid=MLB5386065852&sid=search,https://mercadolivre.com/sec/2nJLqpU,completed,2025-12-23,eletrodomesticos/fogao-cooktop-eletrico
